Device,FF_Forward,FF_Reverse,Jsc_mAcm2_Forward,Jsc_mAcm2_Reverse,PCE_percent_Forward,PCE_percent_Reverse,Rs_ohm_cm2_Forward,Rs_ohm_cm2_Reverse,Rsh_ohm_cm2_Forward,Rsh_ohm_cm2_Reverse,Voc_V_Forward,Voc_V_Reverse,Delta_PCE,Delta_Voc,Delta_Jsc,Delta_FF,Hysteresis_Index,High_Hysteresis,Low_Rs
deviceA,0.6500509725364254,0.6401612832652267,20.17704698234268,20.178596289077195,14.491761983106963,14.377952200116573,8.245943870854289,8.30434426885373,5106.92862023312,4474.454511753776,1.1048827032373818,1.1130551394149402,-0.11380978299039057,0.008172436177558362,0.0015493067345140332,-0.00988968927119871,-0.007915576669497331,0,0
deviceB,0.7467038337228303,0.7587659522128775,20.051937478783174,20.1542077592868,17.1346834681668,17.77703057136814,6.118375868727226,7.594257753111045,3341.636254933958,7605.3966530848975,1.1443829090044504,1.1624804379369054,0.6423471032013417,0.018097528932454976,0.10227028050362463,0.012062118490047125,0.03613354326092639,0,1
deviceC,0.7711152529773916,0.767191963107263,20.756445842,20.797108968,18.363962448528312,18.38734049473692,4.786209399784143,5.584745057738499,4110.186342640512,8414.256138810866,1.1473452226738945,1.1524229709770295,0.023378046208609504,0.00507774830313501,0.04066312599999833,-0.003923289870128577,0.0012714207481664404,0,1
deviceD,0.7481843262117662,0.7594758864891623,20.071712157748863,20.171703604437727,17.191299394629418,17.810883443410198,6.110401227357944,7.581880944302407,3240.772842783027,7279.252937442221,1.144763246670514,1.1625961861214822,0.61958404878078,0.0178329394509682,0.09999144668886473,0.011291560277396084,0.03478682294167829,0,1
deviceE,0.748387886948142,0.7557075055016798,20.152430191270657,20.25953589118731,17.333143098993894,17.91177460049299,6.452673096910172,8.205573160392897,3485.0208035782,8596.770368299742,1.149272850675365,1.1699179050646935,0.5786315014990961,0.0206450543893284,0.10710569991665153,0.007319618553537799,0.03230453232049773,0,0
deviceF,0.7426070085540771,0.7560054535735394,20.177981080469213,20.28441683443012,17.41398488768354,18.007849719790457,7.284038146089448,5.45952073019795,2943.6560330839616,5343.602269890333,1.162147919489147,1.1742874050680283,0.5938648321069167,0.012139485578881226,0.1064357539609091,0.013398445019462302,0.03297810906619599,0,1
deviceG,0.5771134731695468,0.5757160704966847,20.610881082540317,20.64609588954949,13.36826883843242,13.46281114630512,9.684321702762109,10.501844974820678,2185.4671185019056,3633.6862841912016,1.1238734190834652,1.1326336524037308,0.09454230787269857,0.008760233320265653,0.03521480700917223,-0.001397402672862036,0.007022478949253165,0,0
deviceH,11.08417822864987,-0.6064971472391957,-5.066524233426351e-06,-1.9458410623595675e-05,9.535672028685e-06,1.439543369717e-05,275020293.0827634,202671686.05089903,900039.6888778186,2381028.8971460448,-0.169799998,1.219799995,4.859761668484999e-06,1.389599993,-1.4391886390169324e-05,-11.690675375889066,0.3375905006210671,1,0
deviceI,0.7711152529773916,0.767191963107263,20.756445842,20.797108968,18.363962448528312,18.38734049473692,4.786209399784143,5.584745057738499,4110.186342640512,8414.256138810866,1.1473452226738945,1.1524229709770295,0.023378046208609504,0.00507774830313501,0.04066312599999833,-0.003923289870128577,0.0012714207481664404,0,1
deviceJ,0.5079565451532027,0.5417201433492318,0.0081121379928285,0.0089176358701841,0.0028060028888709,0.0033046445170787,26103.74953696352,15719.276196803752,309545.5642276894,347443.6864148205,0.6809672463840309,0.6840691879356173,0.0004986416282077998,0.0031019415515863846,0.0008054978773556001,0.03376359819602914,0.15089115504883355,1,0
deviceK,0.7637949935573997,0.7352507736454956,21.10609910227793,21.11473406803446,17.73864764499336,17.07704847079906,6.5795984114894575,6.885308923387663,8792.64396139072,6698.655564995142,1.1003623615889493,1.0999975172393923,-0.6615991741943006,-0.00036484434955696976,0.00863496575652789,-0.028544219911904034,-0.03874200950624481,0,1
deviceL,0.447154459254285,0.4674940931263858,0.0075153495157373,0.0082092561415579,0.0022938277511883,0.0026979954706526,26725.49414872544,27673.39819017305,292597.05865885445,315932.9273566646,0.6825807769945231,0.7030096425020204,0.0004041677194643002,0.02042886550749723,0.0006939066258206004,0.020339633872100804,0.14980296440843865,1,0
